Player,Nationality,RetainedTeam,RetentionPrice
Ruturaj Gaikwad,Indian,CSK,1800
Sanju Samson,Indian,CSK,1800
Shivam Dube,Indian,CSK,1200
Noor Ahmad,Foreigner,CSK,1000
Syed Khaleel Ahmed,Indian,CSK,480
MS Dhoni,Indian,CSK,400
Anshul Kamboj,Indian,CSK,340
Dewald Brevis,Foreigner,CSK,220
Gurjapneet Singh,Indian,CSK,220
Nathan Ellis,Foreigner,CSK,200
Jamie Overton,Foreigner,CSK,150
Ayush Mhatre,Indian,CSK,30
Mukesh Choudhary,Indian,CSK,30
Shreyas Gopal,Indian,CSK,30
Urvil Patel,Indian,CSK,30
Ramakrishna Ghosh,Indian,CSK,30
Virat Kohli,Indian,RCB,2100
Josh Hazlewood,Foreigner,RCB,1250
Phil Salt,Foreigner,RCB,1150
Jitesh Sharma,Indian,RCB,1100
Rajat Patidar,Indian,RCB,1100
Bhuvneshwar Kumar,Indian,RCB,1075
Rasikh Dhar,Indian,RCB,600
Krunal Pandya,Indian,RCB,575
Yash Dayal,Indian,RCB,500
Tim David,Foreigner,RCB,300
Jacob Bethell,Foreigner,RCB,260
Suyash Sharma,Indian,RCB,260
Devdutt Padikkal,Indian,RCB,200
Nuwan Thushara,Foreigner,RCB,160
Romario Shepherd,Foreigner,RCB,150
Swapnil Singh,Indian,RCB,50
Abhinandan Singh,Indian,RCB,30
Axar Patel,Indian,DC,1650
KL Rahul,Indian,DC,1400
Kuldeep Yadav,Indian,DC,1325
Tristan Stubbs,Foreigner,DC,1000
Mitchell Starc,Foreigner,DC,1175
T Natarajan,Indian,DC,1075
Mukesh Kumar,Indian,DC,800
Nitish Rana,Indian,DC,420
Abhishek Porel,Indian,DC,400
Ashutosh Sharma,Indian,DC,380
Sameer Rizvi,Indian,DC,95
Dushmantha Chameera,Foreigner,DC,75
Karun Nair,Indian,DC,50
Madhav Tiwari,Indian,DC,40
Vipraj Nigam,Indian,DC,50
Tripurana Vijay,Indian,DC,30
Ajay Mandal,Indian,DC,30
Rashid Khan,Foreigner,GT,1800
Shubman Gill,Indian,GT,1650
Jos Buttler,Foreigner,GT,1575
Mohammed Siraj,Indian,GT,1225
Kagiso Rabada,Foreigner,GT,1075
Prasidh Krishna,Indian,GT,950
B Sai Sudarshan,Indian,GT,850
Rahul Tewatia,Indian,GT,400
M Shahrukh Khan,Indian,GT,400
Washington Sundar,Indian,GT,320
Glenn Phillips,Foreigner,GT,200
R Sai Kishore,Indian,GT,200
Mohd Arshad Khan,Indian,GT,130
Ishant Sharma,Indian,GT,75
Gurnoor Brar,Indian,GT,130
Jayant Yadav,Indian,GT,75
Kumar Kushagra,Indian,GT,65
Nishant Sindhu,Indian,GT,30
Manav Suthar,Indian,GT,30
Anuj Rawat,Indian,GT,30
Rinku Singh,Indian,KKR,1300
Sunil Narine,Foreigner,KKR,1200
Varun Chakravarthy,Indian,KKR,1200
Harshit Rana,Indian,KKR,400
Ramandeep Singh,Indian,KKR,400
Angkrish Raghuvanshi,Indian,KKR,300
Vaibhav Arora,Indian,KKR,180
Ajinkya Rahane,Indian,KKR,150
Rovman Powell,Foreigner,KKR,150
Manish Pandey,Indian,KKR,75
Umran Malik,Indian,KKR,75
Anukul Roy,Indian,KKR,40
Rishabh Pant,Indian,LSG,2700
Nicholas Pooran,Foreigner,LSG,2100
Mayank Yadav,Indian,LSG,1100
Mohammed Shami,Indian,LSG,1000
Avesh Khan,Indian,LSG,975
Abdul Samad,Indian,LSG,420
Ayush Badoni,Indian,LSG,400
Mohsin Khan,Indian,LSG,400
Mitchell Marsh,Foreigner,LSG,340
Shahbaz Ahamed,Indian,LSG,240
Aiden Markram,Foreigner,LSG,200
Manimaran Siddharth,Indian,LSG,75
Arshin Kulkarni,Indian,LSG,30
Digvesh Rathi,Indian,LSG,30
Matthew Breetzke,Foreigner,LSG,75
Prince Yadav,Indian,LSG,30
Akash Singh,Indian,LSG,30
Arjun Tendulkar,Indian,LSG,30
Himmat Singh,Indian,LSG,30
Jasprit Bumrah,Indian,MI,1800
Hardik Pandya,Indian,MI,1635
Suryakumar Yadav,Indian,MI,1635
Rohit Sharma,Indian,MI,1630
Trent Boult,Foreigner,MI,1250
Deepak Chahar,Indian,MI,925
Tilak Varma,Indian,MI,800
Naman Dhir,Indian,MI,525
Will Jacks,Foreigner,MI,525
Allah Ghazanfar,Foreigner,MI,480
Sherfane Rutherford,Foreigner,MI,260
Mitchell Santner,Foreigner,MI,200
Shardul Thakur,Indian,MI,200
Ryan Rickelton,Foreigner,MI,100
Corbin Bosch,Foreigner,MI,75
Robin Minz,Indian,MI,65
Ashwani Kumar,Indian,MI,30
Mayank Markande,Indian,MI,30
Raghu Sharma,Indian,MI,30
Raj Angad Bawa,Indian,MI,30
Shreyas Iyer,Indian,PBKS,2675
Arshdeep Singh,Indian,PBKS,1800
Yuzvendra Chahal,Indian,PBKS,1800
Marcus Stoinis,Foreigner,PBKS,1100
Marco Jansen,Foreigner,PBKS,700
Shashank Singh,Indian,PBKS,550
Nehal Wadhera,Indian,PBKS,420
Prabhsimran Singh,Indian,PBKS,400
Priyansh Arya,Indian,PBKS,380
Mitchell Owen,Foreigner,PBKS,300
Azmatullah Omarzai,Foreigner,PBKS,240
Lockie Ferguson,Foreigner,PBKS,200
Vyshak Vijaykumar,Indian,PBKS,180
Yash Thakur,Indian,PBKS,160
Harpreet Brar,Indian,PBKS,150
Vishnu Vinod,Indian,PBKS,95
Xavier Bartlett,Foreigner,PBKS,80
Harnoor Pannu,Indian,PBKS,30
Musheer Khan,Indian,PBKS,30
Pyla Avinash,Indian,PBKS,30
Suryansh Shedge,Indian,PBKS,30
Yashasvi Jaiswal,Indian,RR,1800
Dhruv Jurel,Indian,RR,1400
Ravindra Jadeja,Indian,RR,1400
Riyan Parag,Indian,RR,1400
Jofra Archer,Foreigner,RR,1250
Shimron Hetmyer,Foreigner,RR,1100
Tushar Deshpande,Indian,RR,650
Sandeep Sharma,Indian,RR,400
Nandre Burger,Foreigner,RR,350
Sam Curran,Foreigner,RR,240
Kwena Maphaka,Foreigner,RR,150
Vaibhav Suryavanshi,Indian,RR,110
Donovan Ferreira,Foreigner,RR,100
Shubham Dubey,Indian,RR,80
Yudhvir Charak,Indian,RR,35
Lhuan Dre Pretorius,Foreigner,RR,30
Heinrich Klaasen,Foreigner,SRH,2300
Pat Cummins,Foreigner,SRH,1800
Abhishek Sharma,Indian,SRH,1400
Travis Head,Foreigner,SRH,1400
Ishan Kishan,Indian,SRH,1125
Harshal Patel,Indian,SRH,800
Nitish Kumar Reddy,Indian,SRH,600
Eshan Malinga,Foreigner,SRH,120
Brydon Carse,Foreigner,SRH,100
Jaydev Unadkat,Indian,SRH,100
Kamindu Mendis,Foreigner,SRH,75
Zeeshan Ansari,Indian,SRH,40
Aniket Verma,Indian,SRH,30
Harsh Dubey,Indian,SRH,30
Smaran Ravichandran,Indian,SRH,30